geoid,dist_roadbed_pickup_feet,count,avg_pickup_dist_feet,building_block_int_dis_tbl_bulkdens
360050231001009,0.0,2,0.0,3.8775510000000004
360050232001003,0.0,1,0.0,2.868435
360050233011000,151.13193869572268,2,75.56596934786134,2.378001
360050233013000,40.4345956286474,2,20.2172978143237,4.355295
360050233013001,151.05252088690972,3,50.35084029563657,5.281435
360050233014001,0.0,1,0.0,5.344285
360050233021001,0.0,1,0.0,6.775745
360050235011004,0.0,1,0.0,5.668804
360050235012000,0.0,3,0.0,6.768946000000001
360050235013000,0.0,1,0.0,6.15563
360050235021001,0.0,1,0.0,5.266548
360050237021002,0.0,1,0.0,7.434108
360050237021003,0.0,1,0.0,2.521329
360050237032000,0.0,1,0.0,6.382128
360050237041000,0.0,1,0.0,5.813532
360050237042001,0.0,1,0.0,10.917325
360050239001000,34.9655895180462,1,34.9655895180462,7.219956
360050239002001,0.0,1,0.0,3.3901779999999997
360050239004002,0.0,1,0.0,4.489396
360050239006000,52.030663815252,1,52.030663815252,5.563411
360050240001014,0.0,1,0.0,0.0
360050243001000,0.0,3,0.0,4.4671
360050243002000,16.7175684470577,1,16.7175684470577,3.0060849999999997
360050243003000,215.018352502633,2,107.5091762513165,5.865667
360050243004000,85.27951431978941,1,85.27951431978941,8.451128
360050244001000,0.0,1,0.0,4.5421059999999995
360050245012001,0.0,1,0.0,4.330327
360050245013000,0.0,1,0.0,4.944472
360050245022000,0.0,2,0.0,5.963133999999999
360050247001001,0.0,1,0.0,4.0319080000000005
360050248001000,0.0,2,0.0,0.0
360050248001008,0.0,1,0.0,2.2389419999999998
360050251003001,0.0,1,0.0,3.91656
360050255001001,5.55547834727867,1,5.55547834727867,3.324642
360050255002000,0.0,1,0.0,7.796914
360050255003000,0.0,1,0.0,5.156722
360050261001000,0.0,2,0.0,7.274139
360050263001001,8.07807232167702,5,1.615614464335404,0.018499
360050265003001,1.79968031034942,1,1.79968031034942,9.595289
360050266012001,0.0,1,0.0,4.217606
360050266013002,18.2767087096278,1,18.2767087096278,2.1866209999999997
360050266023000,0.0,1,0.0,2.455507
360050266023007,0.0,2,0.0,2.412642
360050269001010,0.0,2,0.0,3.049074
360050269001011,50.576910679521895,2,25.288455339760947,3.699733
360050273001002,0.24174494546632996,1,0.24174494546632996,0.0
360050273003000,0.0,1,0.0,6.383301
360050274011004,0.0,1,0.0,1.842371
360050276001008,0.0,1,0.0,0.0
360050276001022,0.0,1,0.0,0.0
360050277002004,0.0,2,0.0,0.681501
360050277004000,0.0,1,0.0,6.483661
360050279001001,0.0,1,0.0,0.32153400000000004
360050283001001,0.0,1,0.0,4.756508
360050283001002,34.2569989265117,1,34.2569989265117,0.0
360050283001004,0.0,1,0.0,2.7934400000000004
360050283001005,3.99441888707509,2,1.997209443537545,1.077368
360050283001006,0.0,1,0.0,0.12648199999999998
360050283002009,0.0,1,0.0,2.414287
360050285003001,0.0,2,0.0,2.854633
360050285004006,0.0,1,0.0,0.660565
360050287001002,0.0,1,0.0,2.6894430000000003
360050287001004,0.0,1,0.0,2.348172
360050287001005,0.0,1,0.0,3.065468
360050287003000,0.156015779706165,1,0.156015779706165,4.94329
360050287003001,0.0,5,0.0,6.631449000000001
360050288003000,0.0,1,0.0,5.383647
